PlantaPorteria_num,ClaveTransportista_num,EmpresaTransportista_num,IdentificacionChofer_num,NumeroProveedor_num,UsuarioPermisoCirculacionIngreso_num,UsuarioEgreso_num,UsuarioPesadaEntrada_num,UsuarioControla_num,UsuarioInsAuditoria_num,UsuarioInspeccion_num,UsuarioDescarga_num,UsuarioPesadaSalida_num
1,63,107,841,20,1,1,2,19,1,5,5,2
1,13,50,454,4,42,24,2,26,1,19,19,2
1,86,34,607,20,1,1,2,19,1,14,14,2
1,86,34,504,20,8,9,2,23,1,19,19,2
1,86,34,313,20,23,24,2,26,1,14,14,2
1,86,34,505,20,23,24,2,26,1,5,5,2
1,86,34,763,20,1,1,2,23,1,8,8,2
1,63,107,807,20,8,9,2,23,1,5,5,2
1,63,107,838,20,8,1,2,19,1,14,14,2
1,86,34,285,20,23,34,2,23,1,5,5,2
1,63,107,614,1,1,1,2,3,1,14,14,2
1,86,34,573,20,6,9,2,22,1,5,5,2
1,13,50,450,4,23,24,2,17,1,8,8,2
1,122,72,1312,3,6,1,2,26,1,14,14,2
1,86,34,332,20,23,1,2,3,1,14,14,2
1,86,34,504,20,23,24,2,19,1,8,8,2
1,18,114,1795,19,23,1,2,3,1,8,8,2
1,63,107,810,1,42,24,2,26,1,14,14,2
1,86,34,348,20,33,7,2,26,1,14,14,2
1,122,72,1785,3,11,1,2,23,1,14,14,2
1,86,34,52,20,11,24,2,18,1,8,8,2
1,86,34,505,20,23,24,2,26,1,14,14,2
1,86,34,406,20,8,9,2,23,1,19,19,2
1,86,34,589,20,23,24,2,19,1,5,5,2
1,86,34,384,20,11,12,2,26,1,5,5,2
1,86,34,573,20,1,1,2,19,1,14,14,2
1,86,34,338,20,1,1,2,26,1,8,8,2
1,86,34,508,20,1,1,2,3,1,19,19,2
1,63,107,841,20,42,9,2,26,1,19,19,2
1,63,107,842,1,23,24,2,17,1,19,19,2
1,63,107,815,1,1,1,2,19,1,14,14,2
1,86,34,285,20,1,7,2,19,1,5,5,2
1,63,107,837,20,23,24,2,17,1,19,19,2
1,13,50,272,1,23,24,2,17,1,5,5,2
1,87,139,766,8,11,12,2,26,1,8,8,2
1,63,107,738,1,23,24,2,19,1,5,5,2
1,63,107,758,1,23,24,2,19,1,14,14,2
1,86,34,313,20,23,24,2,19,1,14,14,2
1,87,139,1622,8,23,1,2,23,1,14,14,2
1,86,34,486,20,8,9,2,23,1,19,19,2
1,87,139,760,8,8,34,2,23,1,14,14,2
1,86,34,348,20,42,44,2,26,1,5,5,2
1,144,80,1374,4,23,24,2,19,14,14,14,2
1,86,34,90,20,1,1,2,19,1,8,8,2
1,13,50,294,4,23,1,2,17,1,14,14,2
1,63,107,758,1,23,24,2,18,1,5,5,2
1,63,107,838,20,11,24,2,3,1,8,8,2
1,86,34,319,20,23,12,2,22,1,8,8,2
1,63,107,544,20,8,9,2,26,1,5,5,2
1,8,58,153,4,42,24,2,26,1,8,8,2
1,86,34,360,20,42,44,10,23,1,14,14,8
1,87,139,766,8,23,12,2,23,1,8,8,2
1,13,50,331,4,23,1,2,23,1,14,14,2
1,8,58,8,4,33,1,2,19,1,8,8,2
1,87,139,289,4,1,12,2,23,1,8,8,2
1,144,80,729,4,23,7,2,26,1,14,14,2
1,89,98,511,4,11,1,2,3,14,14,14,2
1,85,80,358,4,23,1,2,23,1,14,14,2
1,13,50,331,4,23,1,2,19,1,14,14,2
1,13,50,331,4,8,9,2,23,1,19,19,2
1,78,63,735,87,8,1,2,26,1,5,5,2
1,85,80,203,64,42,44,2,3,1,14,14,2
1,85,80,203,64,23,1,2,23,1,14,14,2
1,85,80,203,64,33,34,2,19,1,14,14,2
1,63,107,758,1,23,1,2,19,6,5,5,2
1,63,107,815,1,8,24,2,26,1,14,14,2
1,63,107,614,1,23,24,2,17,1,19,19,2
1,13,50,450,1,33,44,2,26,9,8,8,2
1,63,107,837,1,1,1,2,19,1,8,8,4
1,144,80,1474,31,33,24,2,3,1,5,5,2
1,144,80,1797,31,1,12,2,18,1,8,8,2
1,86,34,281,12,23,24,2,17,1,19,19,2
1,9,35,606,12,1,24,2,19,1,8,8,2
1,41,1,403,34,11,9,2,3,1,5,5,2
1,85,80,175,96,23,7,2,17,1,8,8,2
1,18,114,1255,19,6,9,2,3,1,5,5,2
1,67,83,736,57,1,24,2,3,1,5,5,2
1,144,80,1563,4,11,12,2,3,1,8,8,2
1,4,67,1548,31,8,7,2,19,1,5,5,2
1,63,107,544,1,1,1,2,19,1,14,14,2
1,86,34,360,20,1,1,2,3,1,19,19,2
1,63,107,764,20,23,24,2,18,1,5,5,2
1,87,139,295,8,23,1,2,26,1,19,19,2
1,8,58,153,4,8,24,2,23,1,14,14,2
1,85,80,203,64,1,12,2,18,1,8,8,2
1,63,107,841,20,11,12,2,26,1,8,8,2
1,144,80,1519,31,11,24,2,26,1,19,19,2
1,63,107,764,1,1,12,2,3,1,8,8,2
1,144,80,1657,64,23,24,2,19,1,14,14,2
1,86,34,384,20,11,24,2,18,1,8,8,2
1,63,107,614,1,11,12,2,26,1,8,8,2
1,63,107,841,20,1,1,2,3,1,14,14,2
1,86,34,384,20,1,7,2,19,1,8,8,2
1,8,58,8,4,8,1,2,19,1,14,14,2
1,86,34,653,20,42,1,4,3,1,14,14,4
1,86,34,52,20,23,12,2,23,1,5,5,2
1,63,107,815,1,23,12,2,23,1,5,5,2
1,144,80,1553,31,11,24,2,18,1,14,14,2
1,78,63,735,87,11,1,2,18,1,14,14,2
1,63,107,582,20,8,9,2,23,1,19,19,2
1,122,72,371,3,23,9,2,19,1,19,19,2
1,63,107,618,1,33,34,2,19,1,14,14,2
1,144,80,31,8,1,24,2,18,1,5,5,2
1,87,139,456,8,42,24,2,18,1,5,5,2
1,87,139,310,8,1,1,2,3,1,14,14,2
1,87,139,289,8,42,24,2,26,1,19,19,2
1,87,139,1600,8,6,9,2,3,1,5,5,2
1,144,80,1667,4,1,1,2,3,1,5,5,2
1,144,80,1555,4,6,9,2,3,1,5,5,2
1,9,35,245,12,23,1,2,23,1,14,14,2
1,86,34,653,20,1,9,2,26,1,19,19,2
1,63,107,581,20,1,24,2,18,1,5,5,2
1,85,80,1584,38,42,44,2,26,1,8,8,2
1,85,80,203,64,1,1,2,23,1,14,14,2
1,86,34,607,20,42,44,2,3,1,8,8,2
1,85,80,175,96,42,44,2,3,1,8,8,2
1,86,34,90,20,42,9,2,3,1,8,8,2
1,63,107,614,1,23,24,2,17,1,5,5,2
1,86,34,589,20,23,24,2,17,1,5,5,2
1,86,34,407,20,1,1,2,3,1,14,14,2
1,87,139,794,4,8,44,2,26,1,14,14,2
1,85,80,1345,19,6,9,2,3,1,19,19,2
1,89,98,511,2,6,9,2,3,1,19,19,2
1,63,107,618,1,6,44,10,23,1,14,14,8
1,86,34,204,20,1,1,2,3,1,8,8,2
1,13,50,57,8,1,24,2,3,1,5,5,2
1,59,54,592,1,8,9,2,23,1,19,19,2
1,86,34,589,20,1,1,2,3,1,19,19,2
1,144,80,728,4,1,9,2,3,1,19,19,2
1,86,34,573,20,23,12,2,26,1,14,14,2
1,137,122,1345,19,1,12,2,19,1,14,14,2
1,63,107,759,20,11,12,2,26,1,5,5,2
1,87,139,321,8,1,44,2,3,1,5,5,2
1,86,34,407,20,23,24,2,19,1,14,14,2
1,85,80,203,64,11,12,2,26,1,14,14,2
1,144,80,1567,31,23,12,2,19,1,14,14,2
1,63,107,807,20,1,1,2,3,1,14,14,2
1,86,34,589,20,6,7,2,3,1,8,8,2
1,86,34,120,12,6,44,2,3,1,5,5,2
1,89,98,511,2,8,9,2,3,1,5,5,2
1,86,34,504,20,11,9,2,18,1,8,8,2
1,63,107,838,20,11,24,2,23,1,5,5,2
1,63,107,758,1,1,1,2,3,1,14,14,2
1,86,34,90,20,1,1,2,3,1,14,14,2
1,85,80,1477,31,23,1,2,23,1,14,14,2
1,18,114,1795,19,8,1,2,19,1,8,8,2
1,86,34,486,20,33,12,2,23,1,8,8,2
1,144,80,601,94,8,24,2,26,1,14,14,2
1,63,107,618,1,1,1,2,19,1,5,5,2
1,87,139,293,8,23,1,2,19,1,14,14,2
1,144,80,1513,31,1,1,2,3,1,14,14,2
1,9,35,406,20,6,7,2,3,1,8,8,2
1,63,107,581,1,23,1,2,17,1,14,14,2
1,63,107,614,1,23,24,2,17,1,19,19,2
1,86,34,204,20,33,44,10,23,1,14,14,8
1,4,67,1548,31,42,44,2,26,1,19,19,2
1,86,34,505,20,42,9,2,23,1,19,19,2
1,63,107,737,1,8,24,2,19,1,5,5,2
1,63,107,614,1,23,24,2,19,1,5,5,2
1,86,34,319,20,11,12,2,3,1,8,8,2
1,86,34,285,20,8,44,2,19,1,14,14,2
1,9,35,504,20,11,12,2,3,1,8,8,2
1,85,80,603,57,11,1,2,26,1,19,19,2
1,144,80,203,64,23,24,2,19,1,14,14,2
1,86,34,348,20,42,1,2,19,1,14,14,2
1,144,80,1657,64,8,34,2,26,14,14,14,2
1,86,34,384,20,8,34,2,26,1,14,14,2
1,63,107,730,1,1,1,2,3,1,8,8,2
1,63,107,841,1,1,1,2,3,1,8,8,2
1,63,107,842,1,33,34,2,19,1,14,14,2
1,63,107,544,20,42,44,2,26,1,5,5,2
1,86,34,589,20,1,1,2,3,1,14,14,2
1,13,50,289,1,23,24,2,19,1,19,19,2
1,86,34,52,20,1,1,2,3,1,5,5,2
1,86,34,508,20,8,34,2,26,1,14,14,2
1,9,35,406,20,23,24,2,19,1,14,14,2
1,85,80,203,64,23,34,2,19,1,5,5,2
1,122,72,1314,3,33,34,2,3,1,5,5,2
1,144,80,1533,4,8,7,2,26,1,5,5,2
1,87,139,289,8,8,7,2,22,6,5,5,2
1,86,34,285,20,23,24,2,23,1,19,19,2
1,63,107,758,1,23,24,2,19,1,14,14,2
1,86,34,406,20,23,24,2,19,1,14,14,2
1,63,107,758,1,1,12,2,3,1,19,19,2
1,86,34,381,20,11,12,2,23,1,19,19,2
1,86,34,332,20,23,1,2,3,1,5,5,2
1,13,50,57,1,1,9,2,19,1,19,19,2
1,122,72,1785,3,1,24,2,19,1,5,5,2
1,122,72,371,3,8,1,2,23,1,8,8,2
1,86,34,348,20,8,1,2,19,1,14,14,2
1,63,107,582,20,1,1,2,19,1,19,19,2
1,86,34,285,20,42,12,2,26,1,19,19,2
1,13,50,272,4,1,1,2,3,1,5,5,2
1,13,50,272,1,1,9,2,3,1,19,19,2
1,86,34,653,20,47,9,2,23,1,19,19,2
1,87,139,456,8,8,9,2,23,19,19,19,2
1,13,50,454,4,33,1,2,18,1,14,14,2
1,87,139,310,8,23,1,2,23,1,14,14,2
1,86,34,573,20,1,1,2,3,1,14,14,2
1,63,107,841,20,23,24,2,19,1,14,14,2
1,87,139,844,8,23,12,2,19,1,8,8,2
1,18,114,1346,19,1,12,2,3,1,8,8,2
1,63,107,758,1,8,34,2,23,1,14,14,2
1,86,34,285,20,33,34,2,19,1,14,14,2
1,63,107,614,1,11,12,2,3,1,8,8,2
1,86,34,505,20,23,24,2,26,1,19,19,2
1,86,34,204,20,1,9,2,3,1,5,5,2
1,63,107,614,1,23,24,2,19,1,14,14,2
1,86,34,152,20,6,7,2,3,1,8,8,2
1,86,34,505,20,1,1,2,19,1,14,14,2
1,86,34,505,20,23,24,2,26,1,19,19,2
1,13,50,450,4,8,9,2,26,1,5,5,2
1,63,107,545,20,23,44,2,19,1,14,14,2
1,144,80,1374,4,8,1,2,26,1,14,14,2
1,86,34,486,20,8,1,2,19,1,5,5,2
1,85,80,203,64,1,44,2,3,1,14,14,2
1,85,80,203,64,42,24,2,3,1,14,14,2
1,89,98,511,2,23,7,2,17,1,5,5,2
1,86,34,319,20,6,7,2,26,1,8,8,2
1,144,80,1374,4,23,7,2,17,1,8,8,2
1,89,98,831,2,6,7,2,26,1,8,8,2
1,63,107,837,36,6,7,2,26,1,8,8,2
1,144,80,1550,31,6,24,2,26,1,14,14,2
1,86,34,52,20,23,24,2,17,1,14,14,2
1,63,107,544,20,23,24,2,17,1,14,14,2
1,87,139,268,8,8,24,2,26,1,14,14,2
1,63,107,837,1,1,1,2,19,1,14,14,2
1,89,98,419,2,1,1,2,19,1,8,8,4
1,63,107,837,1,23,1,2,19,1,14,14,2
1,122,72,1312,3,1,1,2,19,1,8,8,4
1,144,80,1553,31,1,24,2,19,1,8,8,2
1,63,107,545,20,23,24,2,17,1,19,19,2
1,63,107,842,1,23,24,2,19,1,14,14,2
1,63,107,815,1,1,44,2,3,1,14,14,2
1,86,34,407,20,23,34,2,19,1,19,19,2
1,63,107,614,1,1,1,2,3,1,8,8,2
1,144,80,731,4,8,9,2,26,1,5,5,2
1,63,107,614,1,8,34,2,26,1,5,5,2
1,86,34,653,20,1,1,2,19,1,14,14,2
1,144,80,729,4,1,9,2,3,1,5,5,2
1,86,34,204,20,1,1,2,3,1,8,8,2
1,87,139,293,8,23,34,2,18,1,14,14,2
1,18,114,1345,19,8,1,2,26,1,14,14,2
1,59,54,121,8,23,34,2,18,1,14,14,2
1,86,34,348,20,23,24,2,18,1,5,5,2
1,85,80,368,64,33,34,2,19,1,14,14,2
1,86,34,204,20,42,44,2,26,1,5,5,2
1,144,80,1657,64,1,1,2,3,1,5,5,2
1,13,50,294,4,1,9,2,3,1,19,19,2
1,87,139,268,8,1,44,2,3,1,19,19,2
1,144,80,1490,31,8,24,2,26,19,19,19,2
1,9,35,406,20,33,34,2,3,1,5,5,2
1,144,80,1657,64,42,12,2,26,1,14,14,2
1,86,34,653,20,23,24,2,17,1,19,19,2
1,91,4,200,37,1,1,2,19,14,14,14,2
1,144,80,731,4,6,9,2,3,1,19,19,2
1,63,107,837,20,8,9,2,23,1,19,19,2
1,86,34,607,20,23,24,2,26,1,14,14,2
1,63,107,738,1,23,24,2,23,1,19,19,2
1,86,34,348,20,6,12,2,26,1,8,8,2
1,89,98,831,2,6,24,2,3,1,5,5,2
1,13,50,380,4,6,24,2,3,1,8,8,2
1,86,34,204,20,6,7,2,3,1,8,8,2
1,87,139,293,8,42,9,2,3,1,5,5,2
1,63,107,835,1,1,1,2,3,1,8,8,2
1,13,50,454,4,23,24,2,19,1,8,8,2
1,87,139,310,8,42,44,2,3,1,5,5,2
1,13,50,272,4,1,44,2,19,14,14,14,2
1,87,139,402,8,1,1,2,3,1,19,19,2
1,86,34,508,20,6,7,2,26,1,19,19,2
1,89,98,419,2,23,7,2,19,1,14,14,2
1,86,34,204,20,6,44,10,23,1,14,14,8
1,85,80,806,96,1,1,2,3,1,8,8,2
1,122,72,1770,3,1,24,2,19,1,19,19,2
1,18,114,1795,19,1,44,2,3,1,5,5,2
1,18,114,1193,19,1,44,2,3,1,5,5,2
1,86,34,90,20,23,24,2,19,1,14,14,2
1,63,107,545,20,6,7,7,18,1,8,8,8
1,85,80,175,96,8,34,2,26,1,14,14,2
1,86,34,348,20,33,34,2,19,1,14,14,2
1,122,72,1785,3,6,9,2,3,1,19,19,2
1,86,34,360,20,23,24,2,19,1,14,14,2
1,144,80,1533,4,23,34,2,19,1,14,14,2
1,63,107,759,20,33,34,2,3,1,5,5,2
1,85,80,203,64,1,7,2,19,1,5,5,2
1,63,107,582,1,6,7,2,3,1,5,5,2
1,86,34,348,20,23,24,2,17,1,19,19,2
1,63,107,838,20,23,24,2,17,1,19,19,2
1,13,50,331,4,11,24,2,26,1,5,5,2
1,13,50,450,1,1,12,2,19,1,14,14,2
1,87,139,268,8,11,24,2,26,1,5,5,2
1,86,34,360,20,47,9,2,23,1,19,19,2
1,63,107,815,1,1,9,2,3,1,19,19,2
1,63,107,838,20,23,24,2,23,1,19,19,2
1,144,80,1657,64,1,12,2,18,1,8,8,2
1,86,34,607,20,33,12,2,18,1,14,14,2
1,86,34,504,20,11,24,2,26,1,5,5,2
1,28,95,189,21,23,1,2,19,1,14,14,2
1,144,80,1508,4,8,1,2,3,1,5,5,2
1,8,58,153,4,1,24,2,26,1,8,8,2
1,17,99,64,4,1,1,2,26,1,8,8,2
1,63,107,582,20,23,7,2,26,1,8,8,2
1,63,107,544,20,23,7,2,26,1,8,8,2
1,86,34,407,20,23,24,2,22,1,8,8,2
1,13,50,57,8,23,1,2,17,1,14,14,2
1,86,34,313,20,8,9,2,26,1,5,5,2
1,87,139,289,8,8,34,2,26,1,5,5,2
1,13,50,450,4,1,34,2,19,1,14,14,2
1,63,107,837,36,42,44,2,3,14,14,14,2
1,87,139,1585,8,6,24,2,3,1,8,8,2
1,86,34,607,20,23,34,2,19,1,8,8,2
1,13,50,272,4,23,24,2,19,1,8,8,2
1,63,107,842,20,6,9,2,3,1,19,19,2
1,86,34,505,20,8,9,2,26,1,19,19,2
1,86,34,505,20,23,24,2,17,1,19,19,2
1,89,98,511,2,1,7,2,19,1,14,14,8
1,13,50,454,4,1,1,8,19,1,8,8,4
1,9,35,479,12,1,24,6,17,1,19,19,2
1,86,34,589,20,42,44,2,26,1,14,14,2
1,8,58,822,1,33,34,2,19,1,14,14,2
1,87,139,760,8,42,44,2,26,1,8,8,2
1,63,107,730,1,42,24,2,26,1,19,19,2
1,122,72,1312,3,1,44,2,3,1,5,5,2
1,63,107,758,1,42,44,2,26,1,5,5,2
1,87,139,268,8,42,44,2,26,1,5,5,2
1,137,122,1345,19,6,7,2,3,1,5,5,2
1,26,100,462,12,42,9,2,26,1,19,19,2
1,31,2,808,24,8,24,2,26,1,19,19,2
1,78,63,735,87,8,24,2,26,1,14,14,2
1,86,34,52,20,23,1,2,26,1,5,5,2
1,87,139,766,8,8,9,2,23,1,19,19,2
1,86,34,332,20,6,7,2,3,1,8,8,2
1,86,34,384,20,47,9,2,23,1,19,19,2
1,86,34,348,20,23,24,2,26,1,14,14,2
1,86,34,360,20,1,12,2,26,1,8,8,2
1,63,107,841,20,1,12,2,3,1,8,8,2
1,122,72,1770,3,1,12,2,3,1,8,8,2
1,63,107,807,20,11,7,2,26,1,8,8,2
1,86,34,508,20,6,7,2,3,1,14,14,2
1,86,34,505,20,6,7,2,3,1,14,14,2
1,86,34,360,20,6,7,2,3,1,14,14,2
1,86,34,589,20,11,24,2,19,1,5,5,2
1,89,98,511,4,1,24,2,23,1,8,8,2
1,87,139,766,8,23,24,2,19,1,14,14,2
1,63,107,582,20,23,12,2,19,1,8,8,2
1,87,139,171,8,23,9,2,19,1,5,5,2
1,89,98,511,4,11,12,2,3,1,14,14,2
1,86,34,204,20,11,12,2,3,1,8,8,2
1,63,107,544,1,11,12,2,23,1,5,5,2
1,144,80,1657,64,11,1,2,23,1,14,14,2
1,144,80,1527,31,33,12,2,23,1,14,14,2
1,87,139,129,8,1,12,2,19,1,8,8,2
1,9,35,406,20,23,24,2,19,1,14,14,2
1,144,80,1576,31,1,12,2,19,1,8,8,2
1,86,34,204,20,11,12,2,18,1,8,8,2
1,9,35,379,12,11,24,2,18,1,5,5,2
1,86,34,332,20,11,12,2,18,1,8,8,2
1,86,34,573,20,1,1,2,3,1,14,14,2
1,85,80,603,57,11,24,2,18,1,8,8,2
1,18,114,1259,19,8,24,2,23,1,5,5,2
1,63,107,838,20,1,12,2,3,1,8,8,2
1,13,50,402,8,47,24,2,18,1,5,5,2
1,86,34,285,20,23,9,2,19,1,8,8,2
1,86,34,52,20,23,24,2,19,6,5,5,2
1,144,80,1439,4,1,24,2,26,1,8,8,2
1,144,80,1555,4,1,24,2,26,1,8,8,2
1,13,50,454,4,23,24,2,17,1,8,8,2
1,13,50,331,4,23,1,2,17,1,5,5,2
1,89,98,511,2,23,7,2,17,1,8,8,2
1,87,139,1600,8,6,7,2,26,1,8,8,2
1,87,139,295,8,6,24,2,26,1,14,14,2
1,122,72,1770,3,42,44,2,26,1,19,19,2
1,144,80,1596,4,23,7,2,19,1,8,8,2
1,86,34,52,20,8,9,2,26,1,19,19,2
1,63,107,730,1,23,9,2,19,1,19,19,2
1,86,34,384,20,23,24,2,19,1,5,5,2
1,86,34,332,20,1,1,2,3,1,8,8,2
1,86,34,384,20,33,34,2,3,1,8,8,2
1,63,107,758,1,1,9,2,3,1,8,8,2
1,86,34,384,20,1,1,2,3,1,8,8,2
1,86,34,52,20,23,24,2,19,1,5,5,2
1,86,34,332,20,23,12,2,19,1,5,5,2
1,86,34,204,20,8,9,2,23,1,5,5,2
1,63,107,841,20,8,9,2,23,1,5,5,2
1,63,107,545,20,8,9,2,23,1,19,19,2
1,13,50,380,4,1,1,8,19,1,8,8,4
1,63,107,838,20,23,24,2,17,1,19,19,2
1,144,80,729,4,42,44,2,26,1,19,19,2
1,17,99,572,4,1,9,4,3,1,8,8,10
1,144,80,727,4,6,9,2,3,1,5,5,2
1,85,80,203,64,1,1,2,19,1,14,14,2
1,144,80,1657,64,1,1,2,19,1,14,14,2
1,144,80,1468,31,6,7,13,22,1,14,14,4
1,13,50,454,4,23,24,2,18,1,5,5,2
1,87,139,456,8,33,34,2,19,1,14,14,2
1,63,107,614,1,11,9,2,3,1,8,8,2
1,122,72,1785,3,1,24,2,19,1,19,19,2
1,63,107,807,20,11,12,2,26,1,8,8,2
1,122,72,371,3,23,1,2,23,1,14,14,2
1,86,34,406,20,23,9,2,23,1,19,19,2
1,78,63,735,87,11,12,2,26,1,8,8,2
1,63,107,544,1,11,12,2,26,1,8,8,2
1,86,34,313,20,11,12,2,26,1,8,8,2
1,63,107,544,20,33,44,2,19,1,8,8,2
1,13,50,454,4,23,1,2,23,1,14,14,2
1,86,34,332,20,1,1,2,3,1,5,5,2
1,63,107,759,1,23,7,2,19,1,5,5,2
1,87,139,293,8,23,34,2,19,14,5,5,2
1,63,107,581,20,33,24,2,19,1,14,14,2
1,63,107,841,20,1,7,2,19,1,5,5,2
1,144,80,1533,4,23,1,2,17,1,19,19,2
1,63,107,545,20,1,12,2,19,1,14,14,2
1,87,139,1608,8,23,24,2,17,1,5,5,2
1,144,80,1533,4,1,12,2,3,19,19,19,2
1,86,34,285,20,11,12,2,26,1,19,19,2
1,87,139,402,8,11,44,2,26,1,19,19,2
1,59,54,398,1,6,7,2,3,1,14,14,2
1,86,34,204,20,23,24,2,26,1,5,5,2
1,122,72,1601,3,1,24,2,3,1,14,14,2
1,86,34,508,20,8,9,2,23,1,19,19,2
1,87,139,456,8,23,24,2,26,1,14,14,2
1,89,98,419,2,23,7,2,26,1,14,14,2
1,144,80,1576,31,47,24,2,26,1,14,14,2
1,86,34,360,20,23,24,2,23,1,19,19,2
1,87,139,765,8,23,1,2,23,1,14,14,2
1,87,139,766,8,11,24,2,26,1,14,14,2
1,87,139,268,8,11,24,2,26,1,14,14,2
1,86,34,384,20,23,24,2,19,1,5,5,2
1,144,80,1374,4,1,9,2,3,1,19,19,2
1,86,34,360,20,1,9,2,3,1,5,5,2
1,144,80,474,86,6,24,2,3,1,5,5,2
1,86,34,486,20,23,1,2,19,1,14,14,2
1,86,34,505,20,6,1,2,3,1,14,14,2
1,86,34,384,20,23,34,2,19,1,5,5,2
1,17,99,1849,4,8,24,2,26,1,5,5,2
1,144,80,1555,4,8,24,2,26,1,5,5,2
1,9,35,406,20,23,24,2,19,1,5,5,2
1,87,139,846,8,42,7,2,3,1,5,5,2
1,144,80,1555,4,6,1,2,26,1,14,14,2
1,86,34,505,20,42,24,2,3,1,8,8,2
1,87,139,310,8,6,9,2,26,1,19,19,2
1,86,34,653,20,1,1,2,19,1,14,14,2
1,63,107,842,20,6,24,2,26,1,14,14,2
1,63,107,545,36,23,7,2,19,1,8,8,2
1,144,80,731,4,33,7,2,19,1,8,8,2
1,18,114,1193,19,8,1,2,26,1,14,14,2
